iter	Passed	Remaining
0	111	111334
1	187	93738
2	193	64215
3	203	50740
4	211	42021
5	236	39101
6	249	35412
7	252	31286
8	259	28541
9	297	29468
10	308	27746
11	312	25736
12	330	25058
13	335	23606
14	341	22447
15	344	21208
16	347	20122
17	351	19183
18	358	18506
19	365	17912
20	369	17217
21	374	16627
22	380	16145
23	384	15633
24	388	15142
25	396	14871
26	400	14426
27	412	14315
28	425	14237
29	428	13852
30	440	13755
31	450	13642
32	454	13332
33	466	13247
34	470	12964
35	478	12808
36	484	12609
37	487	12342
38	501	12357
39	511	12274
40	515	12067
41	636	14528
42	662	14734
43	683	14853
44	695	14751
45	729	15126
46	733	14866
47	737	14631
48	745	14469
49	750	14259
50	765	14247
51	790	14411
52	796	14223
53	802	14051
54	813	13981
55	825	13910
56	828	13711
57	847	13763
58	853	13615
59	857	13438
60	882	13587
61	893	13511
62	903	13434
63	919	13445
64	923	13279
65	941	13324
66	953	13277
67	984	13499
68	988	13342
69	1006	13368
70	1013	13258
71	1016	13102
72	1019	12949
73	1046	13100
74	1051	12963
75	1054	12817
76	1058	12692
77	1062	12562
78	1081	12607
79	1123	12918
80	1146	13012
81	1155	12935
82	1157	12791
83	1160	12659
84	1178	12691
85	1189	12640
86	1192	12517
87	1201	12450
88	1205	12335
89	1208	12215
90	1214	12131
91	1218	12022
92	1221	11912
93	1226	11819
94	1231	11734
95	1235	11635
96	1238	11530
97	1244	11458
98	1266	11528
99	1272	11449
100	1276	11365
101	1283	11299
102	1289	11226
103	1293	11144
104	1296	11054
105	1307	11025
106	1310	10941
107	1314	10858
108	1318	10775
109	1322	10697
110	1329	10645
111	1334	10578
112	1337	10500
113	1343	10445
114	1347	10368
115	1351	10295
116	1353	10217
117	1360	10170
118	1365	10106
119	1369	10039
120	1380	10027
121	1382	9951
122	1392	9930
123	1396	9865
124	1399	9799
125	1407	9763
126	1410	9693
127	1413	9626
128	1416	9562
129	1427	9550
130	1430	9490
131	1437	9451
132	1447	9437
133	1451	9382
134	1457	9341
135	1465	9312
136	1470	9263
137	1473	9203
138	1480	9170
139	1484	9118
140	1487	9060
141	1488	8995
142	1497	8973
143	1501	8923
144	1503	8866
145	1510	8833
146	1513	8782
147	1516	8730
148	1519	8675
149	1525	8643
150	1528	8593
151	1532	8547
152	1535	8503
153	1540	8464
154	1544	8419
155	1546	8368
156	1554	8347
157	1558	8304
