iter	Passed	Remaining
0	2	223
1	3	191
2	5	174
3	6	158
4	8	154
5	10	166
6	13	179
7	15	176
8	17	173
9	18	169
10	20	164
11	21	160
12	23	156
13	24	152
14	26	148
15	27	144
16	29	141
17	30	138
18	31	135
19	33	132
20	34	129
21	35	127
22	37	125
23	39	123
24	40	122
25	42	120
26	43	118
27	45	117
28	47	115
29	48	113
30	50	112
31	52	111
32	53	109
33	55	107
34	57	105
35	58	104
36	60	102
37	61	100
38	63	99
39	65	98
40	67	97
41	68	94
42	70	93
43	72	92
44	74	91
45	76	90
46	79	89
47	81	87
48	83	86
49	85	85
50	87	83
51	89	82
52	91	80
53	93	79
54	94	77
55	96	75
56	98	74
57	100	72
58	102	71
59	105	70
60	107	68
61	109	67
62	111	65
63	113	64
64	116	62
65	118	61
66	120	59
67	123	58
68	126	56
69	128	54
70	130	53
71	132	51
72	134	49
73	137	48
74	138	46
75	140	44
76	142	42
77	144	40
78	147	39
79	149	37
80	151	35
81	153	33
82	155	31
83	157	30
84	160	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	175	15
92	177	13
93	179	11
94	181	9
95	183	7
96	185	5
97	187	3
98	189	1
99	191	0
